flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
511 JELAPANG RD,Choa Chu Kang Park,2.24,0,Greenridge Shopping Centre,0.38,6,West Spring Primary School,0.31,3,Senja Hawker Centre,0.83,2
349 CORPORATION DR,Japanese Garden,1.1,3,Taman Jurong Shopping Centre,0.54,3,Rulang Primary School,0.8,1,Taman Jurong Market and Food Centre,0.61,4
440 FAJAR RD,Zhenghua Park,1.96,1,Fajar Shopping Centre,0.09,6,Zhenghua Primary School,0.47,3,Bukit Panjang Hawker Centre,0.72,2
349 BT BATOK ST 34,Bukit Batok Town Park,0.85,1,West Mall,1.3,3,Dazhong Primary School,0.35,2,Bukit Batok West Hawker Centre,1.15,1
317B ANCHORVALE RD,Sengkang Riverside Park,0.52,3,Compass One,0.75,7,Springdale Primary School,0.18,5,Anchorvale Village Hawker Centre,0.34,3
613B BEDOK RESERVOIR RD,Bedok Town Park,0.49,1,Bedok Mall,1.46,2,Yu Neng Primary School,1.55,3,Bedok Reservoir Road Blk 630,0.47,5
990C JURONG WEST ST 93,Jurong Central Park,1.52,1,Pioneer Mall,0.74,3,Frontier Primary School,0.59,2,Jurong West Hawker Centre,0.71,1
442C FAJAR RD,Zhenghua Park,1.7,1,Fajar Shopping Centre,0.23,5,Zhenghua Primary School,0.28,3,Bukit Panjang Hawker Centre,0.46,2
51 TELOK BLANGAH DR,The Southern Ridges,0.53,5,Alexandra Retail Centre,0.98,6,Radin Mas Primary School,1.57,1,Telok Blangah Hawker Centre & Market,0.23,12
501 CHOA CHU KANG ST 51,Choa Chu Kang Park,0.68,1,Limbang Shopping Centre,0.27,7,South View Primary School,0.94,1,Senja Hawker Centre,2.0,1
69 MOULMEIN RD,Toa Payoh Town Park,1.32,1,Velocity@Novena Square,0.73,7,Anglo-Chinese School (Junior),1.46,2,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),0.31,10
